file,emotion
EmoDB\09a05Nb.wav,neutral
EmoDB\09a05Tb.wav,sadness
EmoDB\09a05Wb.wav,anger
EmoDB\09a05Wc.wav,anger
EmoDB\09a07Eb.wav,disgust
EmoDB\09a07Na.wav,neutral
EmoDB\09a07Ta.wav,sadness
EmoDB\09a07Wb.wav,anger
EmoDB\09a07Wd.wav,anger
EmoDB\09b01Ea.wav,disgust
EmoDB\09b01Na.wav,neutral
EmoDB\09b01Wb.wav,anger
EmoDB\09b02Na.wav,neutral
EmoDB\09b02Tb.wav,sadness
EmoDB\09b02Wc.wav,anger
EmoDB\09b02Wd.wav,anger
EmoDB\09b03Ed.wav,disgust
EmoDB\09b03Fa.wav,happiness
EmoDB\09b03Fd.wav,happiness
EmoDB\09b03Lb.wav,boredom
EmoDB\09b03Nb.wav,neutral
EmoDB\09b03Ta.wav,sadness
EmoDB\09b03Wb.wav,anger
EmoDB\09b09Ea.wav,disgust
EmoDB\09b09Nd.wav,neutral
EmoDB\09b09Wa.wav,anger
EmoDB\09b10Aa.wav,fear
EmoDB\09b10Nd.wav,neutral
EmoDB\09b10Wa.wav,anger
EmoDB\10a01Ac.wav,fear
EmoDB\10a01Nb.wav,neutral
EmoDB\10a01Wa.wav,anger
EmoDB\10a02Ab.wav,fear
EmoDB\10a02Fa.wav,happiness
EmoDB\10a02Lb.wav,boredom
EmoDB\10a02Na.wav,neutral
EmoDB\10a02Wa.wav,anger
EmoDB\10a04Fd.wav,happiness
EmoDB\10a04Nb.wav,neutral
EmoDB\10a04Wa.wav,anger
EmoDB\10a04Wb.wav,anger
EmoDB\10a05Aa.wav,fear
EmoDB\10a05Ld.wav,boredom
EmoDB\10a05Tb.wav,sadness
EmoDB\10a05Wb.wav,anger
EmoDB\10a07Aa.wav,fear
EmoDB\10a07Ad.wav,fear
EmoDB\10a07La.wav,boredom
EmoDB\10a07Ta.wav,sadness
EmoDB\10a07Wb.wav,anger
EmoDB\10b01Aa.wav,fear
EmoDB\10b01Ea.wav,disgust
EmoDB\10b01Fa.wav,happiness
EmoDB\10b01Lb.wav,boredom
EmoDB\10b02Aa.wav,fear
EmoDB\10b02La.wav,boredom
EmoDB\10b02Na.wav,neutral
EmoDB\10b02Wb.wav,anger
EmoDB\10b03La.wav,boredom
EmoDB\10b03Tb.wav,sadness
EmoDB\10b03Wb.wav,anger
EmoDB\10b09Ad.wav,fear
EmoDB\10b09Lb.wav,boredom
EmoDB\10b09Wb.wav,anger
EmoDB\10b10Fc.wav,happiness
EmoDB\10b10Lc.wav,boredom
EmoDB\10b10Wa.wav,anger
EmoDB\11a01Aa.wav,fear
EmoDB\11a01Ab.wav,fear
EmoDB\11a01Ld.wav,boredom
EmoDB\11a01Nd.wav,neutral
EmoDB\11a01Wc.wav,anger
EmoDB\11a02Ec.wav,disgust
EmoDB\11a02Fb.wav,happiness
EmoDB\11a02Ld.wav,boredom
EmoDB\11a02Nc.wav,neutral
EmoDB\11a02Tc.wav,sadness
EmoDB\11a02Wc.wav,anger
EmoDB\11a04Ac.wav,fear
EmoDB\11a04Fd.wav,happiness
EmoDB\11a04Nd.wav,neutral
EmoDB\11a04Wc.wav,anger
EmoDB\11a05Ad.wav,fear
EmoDB\11a05Fb.wav,happiness
EmoDB\11a05Fc.wav,happiness
EmoDB\11a05Lc.wav,boredom
EmoDB\11a05Na.wav,neutral
EmoDB\11a05Td.wav,sadness
EmoDB\11a05Wd.wav,anger
EmoDB\11a07Ac.wav,fear
EmoDB\11a07Ld.wav,boredom
EmoDB\11a07Ta.wav,sadness
EmoDB\11a07Wc.wav,anger
EmoDB\11b01Ab.wav,fear
EmoDB\11b01Eb.wav,disgust
EmoDB\11b01Fc.wav,happiness
EmoDB\11b01Lb.wav,boredom
EmoDB\11b01Nc.wav,neutral
EmoDB\11b01Wd.wav,anger
EmoDB\11b02Ab.wav,fear
EmoDB\11b02Fd.wav,happiness
EmoDB\11b02Na.wav,neutral
EmoDB\11b02Td.wav,sadness
EmoDB\11b02Wb.wav,anger
EmoDB\11b03Fc.wav,happiness
EmoDB\11b03Lc.wav,boredom
EmoDB\11b03Nb.wav,neutral
EmoDB\11b03Td.wav,sadness
EmoDB\11b03Wa.wav,anger
EmoDB\11b03Wb.wav,anger
EmoDB\11b09Ad.wav,fear
EmoDB\11b09Fd.wav,happiness
EmoDB\11b09Ld.wav,boredom
EmoDB\11b09Na.wav,neutral
EmoDB\11b09Td.wav,sadness
EmoDB\11b09Wa.wav,anger
EmoDB\11b10Ad.wav,fear
EmoDB\11b10Ae.wav,fear
EmoDB\11b10Ld.wav,boredom
EmoDB\11b10Nc.wav,neutral
EmoDB\11b10Td.wav,sadness
EmoDB\11b10Wa.wav,anger
EmoDB\12a01Fb.wav,happiness
EmoDB\12a01Lb.wav,boredom
EmoDB\12a01Nb.wav,neutral
EmoDB\12a01Wc.wav,anger
EmoDB\12a02Ac.wav,fear
EmoDB\12a02Ec.wav,disgust
EmoDB\12a02Nb.wav,neutral
EmoDB\12a02Wa.wav,anger
EmoDB\12a02Wc.wav,anger
EmoDB\12a04Wc.wav,anger
EmoDB\12a05Ab.wav,fear
EmoDB\12a05Lb.wav,boredom
EmoDB\12a05Nd.wav,neutral
EmoDB\12a05Ta.wav,sadness
EmoDB\12a05Wb.wav,anger
EmoDB\12a07Ac.wav,fear
EmoDB\12a07La.wav,boredom
EmoDB\12a07Wa.wav,anger
EmoDB\12b01Ta.wav,sadness
EmoDB\12b01Wa.wav,anger
EmoDB\12b02Ad.wav,fear
EmoDB\12b02Ea.wav,disgust
EmoDB\12b02Fb.wav,happiness
EmoDB\12b02Na.wav,neutral
EmoDB\12b02Wa.wav,anger
EmoDB\12b02Wb.wav,anger
EmoDB\12b02Wd.wav,anger
EmoDB\12b03La.wav,boredom
EmoDB\12b03Ta.wav,sadness
EmoDB\12b09Ac.wav,fear
EmoDB\12b09Td.wav,sadness
EmoDB\12b09Wc.wav,anger
EmoDB\12b10Ac.wav,fear
EmoDB\12b10Ld.wav,boredom
EmoDB\12b10Wa.wav,anger
EmoDB\13a01Ac.wav,fear
EmoDB\13a01Ea.wav,disgust
EmoDB\13a01Ec.wav,disgust
EmoDB\13a01Fd.wav,happiness
EmoDB\13a01Lb.wav,boredom
EmoDB\13a01Nb.wav,neutral
EmoDB\13a01Wb.wav,anger
EmoDB\13a02Ad.wav,fear
EmoDB\13a02Ec.wav,disgust
EmoDB\13a02Fa.wav,happiness
EmoDB\13a02Lc.wav,boredom
EmoDB\13a02Nc.wav,neutral
EmoDB\13a02Ta.wav,sadness
EmoDB\13a02Wa.wav,anger
EmoDB\13a04Ac.wav,fear
EmoDB\13a04Fc.wav,happiness
EmoDB\13a04Lb.wav,boredom
EmoDB\13a04Ta.wav,sadness
EmoDB\13a04Wc.wav,anger
EmoDB\13a05Aa.wav,fear
EmoDB\13a05Ea.wav,disgust
EmoDB\13a05Lc.wav,boredom
EmoDB\13a05Nb.wav,neutral
EmoDB\13a05Tc.wav,sadness
EmoDB\13a05Wa.wav,anger
EmoDB\13a05Wc.wav,anger
EmoDB\13a07Fd.wav,happiness
EmoDB\13a07Lb.wav,boredom
EmoDB\13a07Na.wav,neutral
EmoDB\13a07Tc.wav,sadness
EmoDB\13a07Wb.wav,anger
EmoDB\13b01Ab.wav,fear
EmoDB\13b01Ec.wav,disgust
EmoDB\13b01Fc.wav,happiness
EmoDB\13b01Ld.wav,boredom
EmoDB\13b01Nc.wav,neutral
EmoDB\13b01Wa.wav,anger
EmoDB\13b02Fb.wav,happiness
EmoDB\13b02Lc.wav,boredom
EmoDB\13b02Nb.wav,neutral
EmoDB\13b02Wa.wav,anger
EmoDB\13b03Ac.wav,fear
EmoDB\13b03Ed.wav,disgust
EmoDB\13b03Fd.wav,happiness
EmoDB\13b03Lb.wav,boredom
EmoDB\13b03Na.wav,neutral
EmoDB\13b03Td.wav,sadness
EmoDB\13b03Wc.wav,anger
EmoDB\13b09Ab.wav,fear
EmoDB\13b09Ec.wav,disgust
EmoDB\13b09Fb.wav,happiness
EmoDB\13b09Fc.wav,happiness
EmoDB\13b09La.wav,boredom
EmoDB\13b09Na.wav,neutral
EmoDB\13b09Wa.wav,anger
EmoDB\13b10Ec.wav,disgust
EmoDB\13b10Fa.wav,happiness
EmoDB\13b10La.wav,boredom
EmoDB\13b10Nc.wav,neutral
EmoDB\13b10Wa.wav,anger
EmoDB\13b10Wc.wav,anger
EmoDB\14a01Aa.wav,fear
EmoDB\14a01Ac.wav,fear
EmoDB\14a01Ea.wav,disgust
EmoDB\14a01Na.wav,neutral
EmoDB\14a01Wa.wav,anger
EmoDB\14a01Wc.wav,anger
EmoDB\14a02Ab.wav,fear
EmoDB\14a02Ea.wav,disgust
EmoDB\14a02Fd.wav,happiness
EmoDB\14a02La.wav,boredom
EmoDB\14a02Nc.wav,neutral
EmoDB\14a02Tb.wav,sadness
EmoDB\14a02Wa.wav,anger
EmoDB\14a02Wc.wav,anger
EmoDB\14a04Aa.wav,fear
EmoDB\14a04Ed.wav,disgust
EmoDB\14a04Lb.wav,boredom
EmoDB\14a04Tb.wav,sadness
EmoDB\14a04Tc.wav,sadness
EmoDB\14a04Wb.wav,anger
EmoDB\14a04Wc.wav,anger
EmoDB\14a05Aa.wav,fear
EmoDB\14a05Ac.wav,fear
EmoDB\14a05Fa.wav,happiness
EmoDB\14a05Fb.wav,happiness
EmoDB\14a05Lb.wav,boredom
EmoDB\14a05Na.wav,neutral
EmoDB\14a05Ta.wav,sadness
EmoDB\14a05Tc.wav,sadness
EmoDB\14a05Wa.wav,anger
EmoDB\14a05Wb.wav,anger
EmoDB\14a07Aa.wav,fear
EmoDB\14a07Eb.wav,disgust
EmoDB\14a07Fd.wav,happiness
EmoDB\14a07Lc.wav,boredom
EmoDB\14a07Ld.wav,boredom
EmoDB\14a07Na.wav,neutral
EmoDB\14a07Tc.wav,sadness
EmoDB\14a07Wc.wav,anger
EmoDB\14b01Ac.wav,fear
EmoDB\14b01Eb.wav,disgust
EmoDB\14b01Fa.wav,happiness
EmoDB\14b01Fc.wav,happiness
EmoDB\14b01Na.wav,neutral
EmoDB\14b01Wc.wav,anger
EmoDB\14b02Aa.wav,fear
EmoDB\14b02Fb.wav,happiness
EmoDB\14b02Na.wav,neutral
EmoDB\14b02Tc.wav,sadness
EmoDB\14b02Wb.wav,anger
EmoDB\14b02Wd.wav,anger
EmoDB\14b03Ad.wav,fear
EmoDB\14b03Ed.wav,disgust
EmoDB\14b03Lb.wav,boredom
EmoDB\14b03Ta.wav,sadness
EmoDB\14b03Wb.wav,anger
EmoDB\14b09Ac.wav,fear
EmoDB\14b09Ea.wav,disgust
EmoDB\14b09Fc.wav,happiness
EmoDB\14b09Lb.wav,boredom
EmoDB\14b09Td.wav,sadness
EmoDB\14b09Wa.wav,anger
EmoDB\14b09Wc.wav,anger
EmoDB\14b10Ad.wav,fear
EmoDB\14b10Eb.wav,disgust
EmoDB\14b10Lb.wav,boredom
EmoDB\14b10Nb.wav,neutral
EmoDB\14b10Tc.wav,sadness
EmoDB\14b10Wc.wav,anger
EmoDB\15a01Ea.wav,disgust
EmoDB\15a01Fb.wav,happiness
EmoDB\15a01La.wav,boredom
EmoDB\15a01Nb.wav,neutral
EmoDB\15a01Wa.wav,anger
EmoDB\15a02Ac.wav,fear
EmoDB\15a02Ea.wav,disgust
EmoDB\15a02La.wav,boredom
EmoDB\15a02Na.wav,neutral
EmoDB\15a02Ta.wav,sadness
EmoDB\15a02Wb.wav,anger
EmoDB\15a02Wd.wav,anger
EmoDB\15a04Ab.wav,fear
EmoDB\15a04Ac.wav,fear
EmoDB\15a04Fd.wav,happiness
EmoDB\15a04Nc.wav,neutral
EmoDB\15a04Wa.wav,anger
EmoDB\15a04Wb.wav,anger
EmoDB\15a05Eb.wav,disgust
EmoDB\15a05Fb.wav,happiness
EmoDB\15a05Lb.wav,boredom
EmoDB\15a05Na.wav,neutral
EmoDB\15a05Wa.wav,anger
EmoDB\15a07Ac.wav,fear
EmoDB\15a07Eb.wav,disgust
EmoDB\15a07Fa.wav,happiness
EmoDB\15a07Fb.wav,happiness
EmoDB\15a07Ld.wav,boredom
EmoDB\15a07Nc.wav,neutral
EmoDB\15b01Ec.wav,disgust
EmoDB\15b01Lb.wav,boredom
EmoDB\15b01Na.wav,neutral
EmoDB\15b01Wc.wav,anger
EmoDB\15b02Aa.wav,fear
EmoDB\15b02Lb.wav,boredom
EmoDB\15b02Nd.wav,neutral
EmoDB\15b02Tc.wav,sadness
EmoDB\15b02Wa.wav,anger
EmoDB\15b02Wc.wav,anger
EmoDB\15b03Aa.wav,fear
EmoDB\15b03Lc.wav,boredom
EmoDB\15b03Nb.wav,neutral
EmoDB\15b03Tc.wav,sadness
EmoDB\15b03Wa.wav,anger
EmoDB\15b03Wb.wav,anger
EmoDB\15b09Ac.wav,fear
EmoDB\15b09Fa.wav,happiness
EmoDB\15b09La.wav,boredom
EmoDB\15b09Nb.wav,neutral
EmoDB\15b09Ta.wav,sadness
EmoDB\15b09Wb.wav,anger
EmoDB\15b10Ac.wav,fear
EmoDB\15b10Lc.wav,boredom
EmoDB\15b10Nb.wav,neutral
EmoDB\15b10Nc.wav,neutral
EmoDB\15b10Wa.wav,anger
EmoDB\16a01Ec.wav,disgust
EmoDB\16a01Fc.wav,happiness
EmoDB\16a01Lb.wav,boredom
EmoDB\16a01Nc.wav,neutral
EmoDB\16a01Tb.wav,sadness
EmoDB\16a01Wb.wav,anger
EmoDB\16a02Ea.wav,disgust
EmoDB\16a02Ec.wav,disgust
EmoDB\16a02Lb.wav,boredom
EmoDB\16a02Nb.wav,neutral
EmoDB\16a02Tc.wav,sadness
EmoDB\16a02Wb.wav,anger
EmoDB\16a04Ab.wav,fear
EmoDB\16a04Ea.wav,disgust
EmoDB\16a04Fa.wav,happiness
EmoDB\16a04La.wav,boredom
EmoDB\16a04Lc.wav,boredom
EmoDB\16a04Nc.wav,neutral
EmoDB\16a04Tc.wav,sadness
EmoDB\16a04Wb.wav,anger
EmoDB\16a04Wc.wav,anger
EmoDB\16a05Ab.wav,fear
EmoDB\16a05Ea.wav,disgust
EmoDB\16a05Fc.wav,happiness
EmoDB\16a05La.wav,boredom
EmoDB\16a05Tb.wav,sadness
EmoDB\16a05Wb.wav,anger
EmoDB\16a05Wc.wav,anger
EmoDB\16a07Ea.wav,disgust
EmoDB\16a07Fa.wav,happiness
EmoDB\16a07Fb.wav,happiness
EmoDB\16a07La.wav,boredom
EmoDB\16a07Lb.wav,boredom
EmoDB\16a07Nb.wav,neutral
EmoDB\16a07Td.wav,sadness
EmoDB\16a07Wa.wav,anger
EmoDB\16b01Aa.wav,fear
EmoDB\16b01Eb.wav,disgust
EmoDB\16b01Fa.wav,happiness
EmoDB\16b01La.wav,boredom
EmoDB\16b01Lc.wav,boredom
EmoDB\16b01Tb.wav,sadness
EmoDB\16b01Wa.wav,anger
EmoDB\16b01Wb.wav,anger
EmoDB\16b02Aa.wav,fear
EmoDB\16b02Eb.wav,disgust
EmoDB\16b02Fd.wav,happiness
EmoDB\16b02Lb.wav,boredom
EmoDB\16b02Wb.wav,anger
EmoDB\16b03Ad.wav,fear
EmoDB\16b03Ea.wav,disgust
EmoDB\16b03Fa.wav,happiness
EmoDB\16b03Fd.wav,happiness
EmoDB\16b03La.wav,boredom
EmoDB\16b03Nb.wav,neutral
EmoDB\16b03Ta.wav,sadness
EmoDB\16b03Wb.wav,anger
EmoDB\16b09Ab.wav,fear
EmoDB\16b09Eb.wav,disgust
EmoDB\16b09Fb.wav,happiness
EmoDB\16b09La.wav,boredom
EmoDB\16b09Lb.wav,boredom
EmoDB\16b09Wb.wav,anger
EmoDB\16b10Aa.wav,fear
EmoDB\16b10Eb.wav,disgust
EmoDB\16b10Fb.wav,happiness
EmoDB\16b10Lb.wav,boredom
EmoDB\16b10Tb.wav,sadness
EmoDB\16b10Td.wav,sadness
EmoDB\16b10Wa.wav,anger
EmoDB\16b10Wb.wav,anger
RAVDESS\Actor_01\03-01-01-01-01-01-01.wav,neutral
RAVDESS\Actor_01\03-01-01-01-01-02-01.wav,neutral
RAVDESS\Actor_01\03-01-01-01-02-01-01.wav,neutral
RAVDESS\Actor_01\03-01-01-01-02-02-01.wav,neutral
RAVDESS\Actor_01\03-01-02-01-01-01-01.wav,calm
RAVDESS\Actor_01\03-01-02-01-01-02-01.wav,calm
RAVDESS\Actor_01\03-01-02-01-02-01-01.wav,calm
RAVDESS\Actor_01\03-01-02-01-02-02-01.wav,calm
RAVDESS\Actor_01\03-01-02-02-01-01-01.wav,calm
RAVDESS\Actor_01\03-01-02-02-01-02-01.wav,calm
RAVDESS\Actor_01\03-01-02-02-02-01-01.wav,calm
RAVDESS\Actor_01\03-01-02-02-02-02-01.wav,calm
RAVDESS\Actor_01\03-01-03-01-01-01-01.wav,happy
RAVDESS\Actor_01\03-01-03-01-01-02-01.wav,happy
RAVDESS\Actor_01\03-01-03-01-02-01-01.wav,happy
RAVDESS\Actor_01\03-01-03-01-02-02-01.wav,happy
RAVDESS\Actor_01\03-01-03-02-01-01-01.wav,happy
RAVDESS\Actor_01\03-01-03-02-01-02-01.wav,happy
RAVDESS\Actor_01\03-01-03-02-02-01-01.wav,happy
RAVDESS\Actor_01\03-01-03-02-02-02-01.wav,happy
RAVDESS\Actor_01\03-01-04-01-01-01-01.wav,sad
RAVDESS\Actor_01\03-01-04-01-01-02-01.wav,sad
RAVDESS\Actor_01\03-01-04-01-02-01-01.wav,sad
RAVDESS\Actor_01\03-01-04-01-02-02-01.wav,sad
RAVDESS\Actor_01\03-01-04-02-01-01-01.wav,sad
RAVDESS\Actor_01\03-01-04-02-01-02-01.wav,sad
RAVDESS\Actor_01\03-01-04-02-02-01-01.wav,sad
RAVDESS\Actor_01\03-01-04-02-02-02-01.wav,sad
RAVDESS\Actor_01\03-01-05-01-01-01-01.wav,angry
RAVDESS\Actor_01\03-01-05-01-01-02-01.wav,angry
RAVDESS\Actor_01\03-01-05-01-02-01-01.wav,angry
RAVDESS\Actor_01\03-01-05-01-02-02-01.wav,angry
RAVDESS\Actor_01\03-01-05-02-01-01-01.wav,angry
RAVDESS\Actor_01\03-01-05-02-01-02-01.wav,angry
RAVDESS\Actor_01\03-01-05-02-02-01-01.wav,angry
RAVDESS\Actor_01\03-01-05-02-02-02-01.wav,angry
RAVDESS\Actor_01\03-01-06-01-01-01-01.wav,fearful
RAVDESS\Actor_01\03-01-06-01-01-02-01.wav,fearful
RAVDESS\Actor_01\03-01-06-01-02-01-01.wav,fearful
RAVDESS\Actor_01\03-01-06-01-02-02-01.wav,fearful
RAVDESS\Actor_01\03-01-06-02-01-01-01.wav,fearful
RAVDESS\Actor_01\03-01-06-02-01-02-01.wav,fearful
RAVDESS\Actor_01\03-01-06-02-02-01-01.wav,fearful
RAVDESS\Actor_01\03-01-06-02-02-02-01.wav,fearful
RAVDESS\Actor_01\03-01-07-01-01-01-01.wav,disgust
RAVDESS\Actor_01\03-01-07-01-01-02-01.wav,disgust
RAVDESS\Actor_01\03-01-07-01-02-01-01.wav,disgust
RAVDESS\Actor_01\03-01-07-01-02-02-01.wav,disgust
RAVDESS\Actor_01\03-01-07-02-01-01-01.wav,disgust
RAVDESS\Actor_01\03-01-07-02-01-02-01.wav,disgust
RAVDESS\Actor_01\03-01-07-02-02-01-01.wav,disgust
RAVDESS\Actor_01\03-01-07-02-02-02-01.wav,disgust
RAVDESS\Actor_01\03-01-08-01-01-01-01.wav,surprised
RAVDESS\Actor_01\03-01-08-01-01-02-01.wav,surprised
RAVDESS\Actor_01\03-01-08-01-02-01-01.wav,surprised
RAVDESS\Actor_01\03-01-08-01-02-02-01.wav,surprised
RAVDESS\Actor_01\03-01-08-02-01-01-01.wav,surprised
RAVDESS\Actor_01\03-01-08-02-01-02-01.wav,surprised
RAVDESS\Actor_01\03-01-08-02-02-01-01.wav,surprised
RAVDESS\Actor_01\03-01-08-02-02-02-01.wav,surprised
RAVDESS\Actor_02\03-01-01-01-01-01-02.wav,neutral
RAVDESS\Actor_02\03-01-01-01-01-02-02.wav,neutral
RAVDESS\Actor_02\03-01-01-01-02-01-02.wav,neutral
RAVDESS\Actor_02\03-01-01-01-02-02-02.wav,neutral
RAVDESS\Actor_02\03-01-02-01-01-01-02.wav,calm
RAVDESS\Actor_02\03-01-02-01-01-02-02.wav,calm
RAVDESS\Actor_02\03-01-02-01-02-01-02.wav,calm
RAVDESS\Actor_02\03-01-02-01-02-02-02.wav,calm
RAVDESS\Actor_02\03-01-02-02-01-01-02.wav,calm
RAVDESS\Actor_02\03-01-02-02-01-02-02.wav,calm
RAVDESS\Actor_02\03-01-02-02-02-01-02.wav,calm
RAVDESS\Actor_02\03-01-02-02-02-02-02.wav,calm
RAVDESS\Actor_02\03-01-03-01-01-01-02.wav,happy
RAVDESS\Actor_02\03-01-03-01-01-02-02.wav,happy
RAVDESS\Actor_02\03-01-03-01-02-01-02.wav,happy
RAVDESS\Actor_02\03-01-03-01-02-02-02.wav,happy
RAVDESS\Actor_02\03-01-03-02-01-01-02.wav,happy
RAVDESS\Actor_02\03-01-03-02-01-02-02.wav,happy
RAVDESS\Actor_02\03-01-03-02-02-01-02.wav,happy
RAVDESS\Actor_02\03-01-03-02-02-02-02.wav,happy
RAVDESS\Actor_02\03-01-04-01-01-01-02.wav,sad
RAVDESS\Actor_02\03-01-04-01-01-02-02.wav,sad
RAVDESS\Actor_02\03-01-04-01-02-01-02.wav,sad
RAVDESS\Actor_02\03-01-04-01-02-02-02.wav,sad
RAVDESS\Actor_02\03-01-04-02-01-01-02.wav,sad
RAVDESS\Actor_02\03-01-04-02-01-02-02.wav,sad
RAVDESS\Actor_02\03-01-04-02-02-01-02.wav,sad
RAVDESS\Actor_02\03-01-04-02-02-02-02.wav,sad
RAVDESS\Actor_02\03-01-05-01-01-01-02.wav,angry
RAVDESS\Actor_02\03-01-05-01-01-02-02.wav,angry
RAVDESS\Actor_02\03-01-05-01-02-01-02.wav,angry
RAVDESS\Actor_02\03-01-05-01-02-02-02.wav,angry
RAVDESS\Actor_02\03-01-05-02-01-01-02.wav,angry
RAVDESS\Actor_02\03-01-05-02-01-02-02.wav,angry
RAVDESS\Actor_02\03-01-05-02-02-01-02.wav,angry
RAVDESS\Actor_02\03-01-05-02-02-02-02.wav,angry
RAVDESS\Actor_02\03-01-06-01-01-01-02.wav,fearful
RAVDESS\Actor_02\03-01-06-01-01-02-02.wav,fearful
RAVDESS\Actor_02\03-01-06-01-02-01-02.wav,fearful
RAVDESS\Actor_02\03-01-06-01-02-02-02.wav,fearful
RAVDESS\Actor_02\03-01-06-02-01-01-02.wav,fearful
RAVDESS\Actor_02\03-01-06-02-01-02-02.wav,fearful
RAVDESS\Actor_02\03-01-06-02-02-01-02.wav,fearful
RAVDESS\Actor_02\03-01-06-02-02-02-02.wav,fearful
RAVDESS\Actor_02\03-01-07-01-01-01-02.wav,disgust
RAVDESS\Actor_02\03-01-07-01-01-02-02.wav,disgust
RAVDESS\Actor_02\03-01-07-01-02-01-02.wav,disgust
